Evaporator Temperature,Compressor Flow,Condensing Temperature,Cold Water,Tower Water,COP
-1.4514,522.072,30,34.0924,162.301,5.39302
-1.49776,577.933,30,37.6817,179.442,5.38317
-1.24701,596.283,30,39.2057,186.396,5.43681
0.192013,501.711,30,34.6056,163.011,5.76231
-3.18881,527.181,30,32.4698,156.342,5.04287
0.835406,549.737,30,38.7331,181.708,5.91837
-4.08842,542.471,30,32.4059,156.967,4.87578
0.846171,596.082,30,42.0134,197.083,5.92104
-1.63967,510.91,30,33.1537,158.025,5.35319
-4.10618,578.018,30,34.5085,167.171,4.87257
-2.8428,529.773,30,33.0136,158.599,5.10961
0.142552,575.485,30,39.6291,186.733,5.7506
1.04731,548.326,30,38.9045,182.267,5.9713
-2.59841,503.879,30,31.6602,151.853,5.15761
-3.12085,521.606,30,32.2004,154.976,5.05586
-3.57671,521.395,30,31.6938,152.997,4.96971
-0.165769,503.913,30,34.3475,162.166,5.67844
-1.98952,573.435,30,36.7767,175.694,5.28045
-4.5641,518.76,30,30.4903,148.157,4.79099
-1.2859,546.663,30,35.8965,170.706,5.42843
-4.23133,567.409,30,33.7309,163.54,4.85005
-3.5415,525.771,30,31.998,154.43,4.97628
0.933035,525.44,30,37.1406,174.129,5.94266
-2.32586,521.794,30,33.0884,158.421,5.21201
-1.45616,589.284,30,38.4753,183.172,5.392
1.65187,552.453,30,39.9843,186.611,6.12673
0.378369,535.658,30,37.1757,174.909,5.80681
-0.178027,529.463,30,36.0744,170.333,5.67561
-3.69508,507.812,30,30.7442,148.53,4.94772
-2.22922,512.482,30,32.6038,156.002,5.23153
-4.5939,539.962,30,31.7041,154.086,4.78576
-0.0797128,502.969,30,34.3812,162.236,5.69843
0.704219,572.012,30,40.1285,188.411,5.88599
1.05785,529.359,30,37.5718,176.012,5.97396
-2.39921,549.98,30,34.7897,166.646,5.19728
-0.714645,509.836,30,34.1227,161.674,5.55363
-3.26923,515.294,30,31.6513,152.482,5.02756
-3.75428,560.747,30,33.8808,163.747,4.93678
-3.02646,552.237,30,34.2005,164.5,5.07401
-1.24039,594.882,30,39.1222,185.992,5.43823
1.81948,514.366,30,37.4329,174.519,6.17101
-1.30427,501.109,30,32.885,156.404,5.42448
-1.71482,539.234,30,34.9036,166.447,5.33743
-0.399663,565.413,30,38.2412,180.82,5.6247
-2.02519,585.64,30,37.5145,179.26,5.27312
1.10964,540.74,30,38.4451,180.044,5.98702
1.2214,593.59,30,42.3582,198.228,6.01538
-2.69662,563.734,30,35.3038,169.439,5.13823
1.45904,515.045,30,37.0415,173.087,6.07643
-1.01264,598.527,30,39.6626,188.283,5.48773
-2.87714,587.397,30,36.5621,175.686,5.10292
0.352866,526.093,30,36.4811,171.669,5.80068
0.149941,522.995,30,36.0234,169.735,5.75234
-4.39726,535.875,30,31.6764,153.749,4.82046
1.67203,513.906,30,37.219,173.683,6.13203
-2.46055,573.934,30,36.2299,173.615,5.18501
-4.26829,571.297,30,33.9192,164.494,4.84344
-4.03844,555.91,30,33.2653,161.076,4.88483
-0.870673,501.38,30,33.3826,158.326,5.51897
-2.22702,552.788,30,35.1706,168.281,5.23197
-3.33102,541.629,30,33.1993,160.005,5.01584
1.96226,512.02,30,37.4369,174.381,6.20916
-1.96547,561.212,30,36.022,172.061,5.2854
-3.37579,516.902,30,31.6356,152.514,5.00739
1.85794,520.432,30,37.9221,176.757,6.18125
-2.74268,581.178,30,36.3397,174.463,5.12919
0.601333,560.302,30,39.1737,184.048,5.86079
-0.710002,502.375,30,33.6285,159.327,5.55466
-3.62043,594.319,30,36.073,174.188,4.96157
-3.13015,537.448,30,33.168,159.642,5.05408
-3.50577,553.388,30,33.7196,162.7,4.98296
-0.0484054,590.841,30,40.4299,190.739,5.70573
-2.63792,540.557,30,33.9195,162.732,5.1498
0.224465,512.222,30,35.3685,166.57,5.77002
-0.819784,530.204,30,35.3617,167.658,5.53023
1.77753,557.368,30,40.5066,188.899,6.15988
