Evaporator Temperature,Compressor Flow,Cold Water,Tower Water,COP
0.0464228,572.027,32.4621,164.608,3.86003
-1.85762,522.835,27.772,142.767,3.62744
-1.76508,592.832,31.5921,162.296,3.63825
0.0748815,591.796,33.6169,170.43,3.86368
-2.20752,537.551,28.2063,145.369,3.58703
-3.61675,538.777,26.9029,140.091,3.43098
-2.45407,538.497,28.0128,144.631,3.55897
-0.653998,571.618,31.6623,161.359,3.77188
1.17173,575.807,33.9661,170.866,4.00844
-1.48184,596.583,32.1077,164.607,3.67162
0.383029,588.497,33.7866,170.915,3.90352
-0.551212,539.503,29.9901,152.724,3.78462
-3.08312,595.285,30.2896,157.108,3.48885
-3.11522,573.728,29.1597,151.283,3.48532
-1.17636,574.497,31.2497,159.855,3.70814
0.657747,523.354,30.332,153.14,3.93958
-2.4078,539.357,28.1031,145.048,3.56421
1.51246,518.882,30.9673,155.407,4.05512
-4.10452,597.276,29.3132,153.194,3.37934
-3.27377,572.366,28.9284,150.258,3.468
1.89781,593.421,35.8852,179.601,4.10894
1.21885,539.224,31.8596,160.216,4.01484
0.234344,592.328,33.8327,171.329,3.88422
-1.16734,558.087,30.3666,155.328,3.70922
-4.77319,583.21,27.9505,146.8,3.31043
1.9145,532.771,32.2359,161.318,4.1113
1.14399,532.343,31.3724,157.849,4.00467
-0.352393,509.95,28.5431,145.149,3.80946
0.900028,533.448,31.1755,157.129,3.97181
-2.24129,508.998,26.6765,137.518,3.58317
-4.56494,544.723,26.3003,137.919,3.33166
-4.02973,553.155,27.2199,142.175,3.38719
0.952956,524.186,30.6899,154.624,3.9789
1.40258,541.876,32.2183,161.81,4.03997
-2.89301,506.353,25.9376,134.347,3.50981
0.368983,559.179,32.0879,162.338,3.90169
-3.19494,509.161,25.8056,133.96,3.4766
-1.41872,597.706,32.2389,165.204,3.67912
-1.37006,526.496,28.4462,145.718,3.68492
-3.50727,578.689,29.0079,150.93,3.44273
0.798232,521.556,30.3741,153.2,3.95822
-3.0456,542.167,27.6234,143.239,3.49297
-2.28214,540.055,28.2637,145.744,3.5785
-4.76914,578.206,27.7146,145.557,3.31084
0.637215,509.224,29.4923,148.922,3.93686
1.894,585.033,35.3734,177.044,4.10841
1.92655,550.979,33.3513,166.885,4.113
-4.80351,566.993,27.1439,142.596,3.30735
-2.373,505.336,26.3626,136.03,3.56816
0.254484,549.475,31.4068,159.021,3.88682
-2.97432,555.581,28.3779,147.075,3.50082
-0.160133,504.575,28.4307,144.378,3.83371
0.538996,588.593,33.974,171.673,3.92393
0.197102,562.612,32.0942,162.568,3.8794
1.7144,531.376,31.9327,160.025,4.08319
-0.394908,593.183,33.153,168.642,3.80412
-4.54707,533.568,25.778,135.162,3.33349
-0.234797,541.218,30.4167,154.546,3.82426
-4.27447,551.589,26.9082,140.802,3.36163
-3.67841,546.028,27.2056,141.731,3.42439
-3.87357,555.233,27.4738,143.335,3.40365
-0.838647,548.25,30.174,153.978,3.74916
1.23429,597.997,35.3508,177.753,4.01695
1.3895,540.761,32.1376,161.42,4.03818
1.65237,542.753,32.5473,163.176,4.07453
-4.82952,553.227,26.4604,139.032,3.30472
-2.64511,504.467,26.0671,134.774,3.53745
-3.54913,551.049,27.5815,143.553,3.43823
-1.71008,556.943,29.7366,152.703,3.64469
1.9534,575.026,34.8388,174.296,4.1168
-1.0836,534.537,29.17,149.117,3.71934
-4.28383,563.546,27.4824,143.817,3.36065
-0.908653,587.593,32.2608,164.71,3.7406
-2.98015,574.922,29.3598,152.17,3.50018
-1.07154,520.33,28.4067,145.202,3.7208
-0.543026,530.789,29.5141,150.291,3.78564
-1.5156,574.919,30.9054,158.482,3.66762
-4.65093,552.765,26.607,139.617,3.32287
-1.31993,568.193,30.7527,157.476,3.69091
1.68429,527.675,31.6776,158.78,4.07898
-1.53014,596.35,32.0411,164.323,3.6659
-3.11849,538.05,27.3433,141.863,3.48496
-3.34396,592.862,29.8902,155.334,3.46038
-0.759859,521.87,28.8008,146.887,3.75883
0.0340109,505.663,28.6837,145.462,3.85844
-4.22477,592.432,28.9517,151.439,3.36679
-4.23532,533.113,26.0431,136.236,3.36569
-1.15434,548.108,29.8371,152.605,3.71079
-2.3694,551.454,28.7721,148.46,3.56857
0.309198,549.5,31.4676,159.267,3.89392
-1.21388,579.073,31.4575,160.962,3.70362
-0.255167,552.098,31.0063,157.565,3.82169
-2.06272,503.861,26.5728,136.806,3.60367
1.15851,554.628,32.702,164.522,4.00664
-3.35718,510.668,25.7342,133.749,3.45894
-1.00429,542.864,29.7062,151.771,3.72895
-4.81322,542.795,25.9765,136.473,3.30637
-0.235817,546.848,30.732,156.15,3.82413
-1.23285,541.884,29.4178,150.546,3.70134
-0.738067,508.119,28.0631,143.103,3.76151
-1.83842,550.2,29.2452,150.319,3.62968
-2.32712,569.46,29.7556,153.487,3.57338
0.750111,508.487,29.5641,149.166,3.95182
-0.549485,513.112,28.5248,145.26,3.78484
0.502843,545.156,31.4277,158.846,3.91918
1.98705,511.846,31.0465,155.287,4.12157
-0.252117,529.679,29.7504,151.18,3.82207
1.87723,544.991,32.9334,164.851,4.10604
-2.77584,567.43,29.1862,151.044,3.52283
-4.38556,535.672,26.0288,136.313,3.35012
0.713055,586.798,34.0738,171.964,3.9469
-2.95663,520.198,26.5872,137.776,3.50278
-3.05113,557.022,28.3747,147.141,3.49236
-4.10723,537.268,26.3656,137.792,3.37906
-2.16441,568.975,29.9002,154.051,3.59197
0.17019,530.518,30.2353,153.182,3.87593
-3.96296,532.799,26.2804,137.2,3.39421
-2.66505,503.031,25.9747,134.315,3.53521
-0.275959,529.613,29.7222,151.062,3.81907
-3.58911,519.782,25.9798,135.256,3.43394
-3.26474,556.814,28.1513,146.212,3.46899
0.0649574,540.554,30.6956,155.63,3.8624
-1.03993,501.04,27.3836,139.941,3.72463
-0.0716514,516.665,29.201,148.197,3.84495
-3.5958,561.427,28.0547,146.066,3.43323
1.07876,521.591,30.67,154.386,3.99584
-0.129008,510.622,28.8024,146.233,3.83766
-4.02617,542.689,26.7083,139.499,3.38756
-4.90517,590.552,28.1695,148.096,3.29707
1.84835,514.372,31.0525,155.467,4.10197
1.98746,505.455,30.6593,153.35,4.12162
0.536792,590.764,34.0968,172.295,3.92364
-4.89741,510.269,24.3467,127.991,3.29786
-0.467014,559.282,31.1804,158.69,3.79511
-0.0927887,591.667,33.4156,169.611,3.84226
-1.761,502.987,26.808,137.715,3.63872
-0.569615,558.16,31.0074,157.926,3.78234
-1.3402,561.532,30.3708,155.543,3.68848
0.0249456,530.946,30.1084,152.697,3.85728
-4.05133,563.158,27.691,144.658,3.38492
-2.71768,590.456,30.4327,157.428,3.52932
-2.56869,524.402,27.17,140.397,3.54603
-0.309002,588.295,32.9777,167.648,3.81491
-2.99526,530.414,27.0725,140.331,3.49851
0.232899,588.17,33.5936,170.12,3.88403
-3.57662,536.613,26.8329,139.685,3.43528
-2.47641,553.556,28.7736,148.583,3.55644
-4.40513,537.842,26.1161,136.79,3.3481
