Evaporator Temperature,Compressor Flow,Cold Water,Tower Water,COP
0.952956,524.186,34.184,170.96,4.13026
1.40258,541.876,35.8654,178.824,4.19287
-2.89301,506.353,29.0363,149.123,3.64931
0.368983,559.179,35.7684,179.596,4.0511
-3.19494,509.161,28.9,148.738,3.61525
-1.41872,597.706,36.0208,183.1,3.8229
-1.37006,526.496,31.7811,161.495,3.82884
-3.50727,578.689,32.4996,167.633,3.58053
0.798232,521.556,33.8391,169.413,4.10905
-3.0456,542.167,30.9297,159.017,3.63204
-2.28214,540.055,31.6149,161.673,3.71974
-4.76914,578.206,31.1024,161.871,3.44528
0.637215,509.224,32.8635,164.709,4.08716
1.894,585.033,39.3524,195.56,4.26303
1.92655,550.979,37.1013,184.333,4.26775
-4.80351,566.993,30.4633,158.584,3.44171
-2.373,505.336,29.4919,150.912,3.70913
0.254484,549.475,35.0144,175.948,4.03585
-2.97432,555.581,31.7716,163.264,3.64009
-0.160133,504.575,31.7135,159.814,3.9814
0.538996,588.593,37.8625,189.891,4.0739
0.197102,562.612,35.7834,179.883,4.02825
1.7144,531.376,35.533,176.794,4.23718
-0.394908,593.183,36.9925,186.717,3.95106
-4.54707,533.568,28.9206,150.277,3.46852
-0.234797,541.218,33.9323,171.082,3.97171
-4.27447,551.589,30.1777,156.505,3.49736
-3.67841,546.028,30.4873,157.444,3.56172
-3.87357,555.233,30.7958,159.257,3.54045
-0.838647,548.25,33.6881,170.557,3.89471
1.23429,597.997,39.3611,196.477,4.16926
1.3895,540.761,35.7761,178.394,4.19103
1.65237,542.753,36.2199,180.287,4.22831
-4.82952,553.227,29.6972,154.624,3.43901
-2.64511,504.467,29.1718,149.558,3.67764
-3.54913,551.049,30.9033,159.446,3.57591
-1.71008,556.943,33.2375,169.295,3.7876
1.9534,575.026,38.7547,192.513,4.27164
-1.0836,534.537,32.5776,165.214,3.86413
-4.28383,563.546,30.822,159.857,3.49637
-0.908653,587.593,36.0212,182.458,3.88593
-2.98015,574.922,32.8711,168.92,3.63943
-1.07154,520.33,31.7245,160.875,3.86563
-0.543026,530.789,32.9385,166.423,3.93211
