Evaporator Temperature,Compressor Flow,Condensing Temperature,Cold Water,Tower Water,COP
-3.5957,582.265,30,13.0875,63.3395,4.89527
-1.62793,554.527,30,13.4626,64.2812,5.29416
-2.96177,516.599,30,11.9048,57.3637,5.0185
-2.89266,548.448,30,12.6731,61.0366,5.03223
1.93373,553.006,30,15.3945,71.7874,6.16022
-1.30663,585.676,30,14.3974,68.5954,5.36411
-1.82129,580.318,30,13.9831,66.8542,5.25275
-0.622613,599.095,30,15.1225,71.7192,5.51799
0.351428,595.084,30,15.5952,73.4824,5.74951
-2.58789,562.754,30,13.16,63.2488,5.09347
-0.51314,534.178,30,13.541,64.1717,5.54327
0.325027,583.635,30,15.2797,72.0083,5.74303
-1.13301,512.75,30,12.6899,60.3892,5.40252
-4.96122,555.81,30,11.8347,57.8265,4.64519
0.607968,589.584,30,15.6037,73.3981,5.81306
-0.90085,587.788,30,14.6784,69.7429,5.45457
-1.78143,595.172,30,14.3633,68.6533,5.26124
-4.20693,512.818,30,11.2514,54.6858,4.78082
-3.83911,588.251,30,13.0956,63.4861,4.84919
-4.84009,507.514,30,10.8586,53.0118,4.66657
0.813531,535.357,30,14.2805,67.0827,5.8648
-0.897532,593.237,30,14.8163,70.3969,5.45532
-1.0304,572.027,30,14.2133,67.5922,5.42543
-0.131389,539.303,30,13.8736,65.5803,5.63286
-1.04779,586.665,30,14.5672,69.2832,5.42154
0.843376,576.677,30,15.4003,72.3286,5.87238
-0.175937,560.913,30,14.4047,68.1114,5.62228
-2.97375,531.242,30,12.2365,58.9668,5.01613
1.03172,594.44,30,15.9893,75.002,5.92054
-2.97528,561.312,30,12.9284,62.3014,5.01583
1.24957,587.022,30,15.9216,74.5776,5.97703
-0.340418,563.116,30,14.37,68.0217,5.58352
0.990342,546.192,30,14.6683,68.8243,5.9099
-4.52582,511.631,30,11.0843,53.994,4.72275
-3.38126,514.753,30,11.6682,56.3867,4.93642
-2.82199,570.437,30,13.2178,63.6291,5.04633
-4.37494,518.254,30,11.2952,54.9633,4.75009
1.98302,576.595,30,16.0812,74.9656,6.17377
-2.48446,551.126,30,12.9404,62.1492,5.11451
-2.72706,520.576,30,12.1075,58.2458,5.06536
-1.49715,586.623,30,14.3144,68.2879,5.32246
-4.72496,565.084,30,12.1459,59.2481,4.68703
-2.58198,502.056,30,11.7433,56.4376,5.09467
0.628294,554.388,30,14.6837,69.061,5.81815
-3.57911,576.818,30,12.9736,62.7809,4.89843
1.02454,561.414,30,15.0968,70.8189,5.91869
-3.016,592.826,30,13.6324,65.7126,5.00777
-2.39449,543.189,30,12.799,61.4323,5.13293
0.919269,568.56,30,15.2276,71.4819,5.89171
-1.60176,540.513,30,13.1357,62.7093,5.2998
-3.23948,522.469,30,11.9094,57.4959,4.96393
0.07129,564.517,30,14.6358,69.0904,5.68136
0.229703,591.466,30,15.4281,72.754,5.71974
-2.93104,588.699,30,13.5827,65.4348,5.0246
-3.79856,578.234,30,12.8933,62.4874,4.85682
-0.196936,537.194,30,13.7845,65.1877,5.61731
1.5815,566.707,30,15.5662,72.7546,6.0648
-2.6297,538.144,30,12.5639,60.4013,5.085
-4.32082,583.098,30,12.7358,61.9497,4.75996
0.216243,566.442,30,14.7678,69.6461,5.71646
-1.564,539.004,30,13.1183,62.6102,5.30796
-3.40754,549.135,30,12.4347,60.1017,4.93135
0.50698,577.441,30,15.2234,71.6566,5.78791
0.475619,572.413,30,15.0727,70.9621,5.78013
-0.573914,531.707,30,13.4468,63.7511,5.52921
-2.15872,571.673,30,13.5948,65.1469,5.18169
-3.77019,544.108,30,12.1459,58.8539,4.86217
-3.9478,507.838,30,11.257,54.6141,4.82883
0.480072,541.723,30,14.267,67.1669,5.78124
-0.035842,586.087,30,15.1326,71.4864,5.65564
-2.45395,583.11,30,13.7077,65.8208,5.12075
-4.28829,540.576,30,11.8223,57.493,4.7659
-2.64706,539.269,30,12.5816,60.4936,5.08149
-0.73104,539.734,30,13.5672,64.3897,5.49314
0.667997,558.155,30,14.806,69.6178,5.8281
1.17636,526.593,30,14.2428,66.7459,5.95795
0.581147,512.799,30,13.5576,63.7848,5.80636
-3.5907,536.184,30,12.0541,58.3363,4.89622
-2.20463,565.663,30,13.4278,64.3668,5.17214
0.942549,507.846,30,13.6136,63.8957,5.89766
0.556834,570.164,30,15.0603,70.8656,5.8003
-2.25455,560.206,30,13.2723,63.6433,5.16178
-4.00584,513.296,30,11.3519,55.0968,4.81801
-3.096,561.322,30,12.8675,62.0595,4.99201
-4.37719,545.91,30,11.8969,57.8921,4.74968
1.82548,542.586,30,15.0425,70.1952,6.13064
1.39651,546.549,30,14.9071,69.7585,6.01563
-0.755781,545.859,30,13.708,65.0689,5.48749
-4.20959,556.464,30,12.2078,59.335,4.78034
-4.06737,581.1,30,12.8202,62.2499,4.80659
0.465169,532.599,30,14.0187,66.0045,5.77755
-1.40995,514.548,30,12.5983,60.0655,5.34146
-0.422208,501.067,30,12.7463,60.3688,5.5644
-2.89097,501.731,30,11.5944,55.8406,5.03257
-0.958639,571.408,30,14.2374,67.6742,5.44154
-1.30307,505.258,30,12.4223,59.1835,5.3649
0.00525222,524.459,30,13.5628,64.0531,5.66548
0.114338,543.455,30,14.1131,66.6037,5.69175
1.10856,514.607,30,13.8826,65.0872,5.94036
-2.26168,586.272,30,13.886,66.5893,5.16031
-2.47247,524.423,30,12.3192,59.1609,5.11696
-0.00507863,526.682,30,13.6149,64.3034,5.66301
-4.15491,519.725,30,11.4265,55.5164,4.7904
-4.64455,543.372,30,11.7166,57.1216,4.7014
-1.55859,572.89,30,13.946,66.5578,5.30913
-2.16047,520.54,30,12.3779,59.3165,5.18133
-1.58977,585.618,30,14.2385,67.9684,5.30239
-2.30743,593.343,30,14.0284,67.2931,5.15085
-0.191911,560.255,30,14.379,67.9969,5.6185
-3.66639,520.056,30,11.6567,56.4424,4.88181
-4.22972,598.47,30,13.1188,63.7722,4.77664
-2.92377,519.072,30,11.9797,57.7092,5.02605
1.99244,549.581,30,15.3333,71.4746,6.17636
0.408573,538.175,30,14.1348,66.5759,5.76357
-4.70539,569.656,30,12.2537,59.7657,4.69052
-0.345517,592.414,30,15.1146,71.549,5.58232
-0.261118,592.957,30,15.1778,71.8074,5.60215
1.7891,556.267,30,15.4005,71.8828,6.12075
1.34673,564.057,30,15.3555,71.8802,6.00251
-0.645602,558.737,30,14.0913,66.8388,5.51271
1.38249,551.745,30,15.0408,70.3906,6.01193
-4.01542,580.155,30,12.8257,62.2539,4.81623
-2.39697,548.734,30,12.9284,62.0544,5.13242
-2.87967,546.319,30,12.6304,60.8252,5.03482
-4.89584,527.975,30,11.2713,55.0483,4.65671
-0.733465,591.801,30,14.8746,70.5957,5.49258
0.511324,552.421,30,14.5662,68.5613,5.78899
-4.28599,536.653,30,11.7375,57.0801,4.76632
-1.50549,583.93,30,14.2441,67.9561,5.32065
-0.0813432,596.626,30,15.3777,72.6665,5.64477
-4.2469,570.105,30,12.4885,60.7155,4.77348
0.0199471,597.399,30,15.4578,72.9956,5.66901
-2.7703,523.659,30,12.1585,58.509,5.05668
0.231134,540.892,30,14.1097,66.5361,5.72008
-0.483533,570.286,30,14.4728,68.5741,5.55013
-3.19519,514.84,30,11.756,56.7378,4.97257
-2.16474,576.46,30,13.7054,65.6798,5.18044
0.26532,585.404,30,15.2909,72.0898,5.72842
0.410723,579.129,30,15.2116,71.647,5.7641
1.61277,555.402,30,15.2738,71.3736,6.07317
-0.248848,500.43,30,12.8154,60.6261,5.60505
-4.93944,580.647,30,12.3743,60.4536,4.64902
0.903289,546.033,30,14.6154,68.6151,5.88763
-1.64064,541.468,30,13.1391,62.7417,5.29142
-1.4514,522.072,30,12.762,60.8628,5.33241
-1.49776,577.933,30,14.102,67.2749,5.32233
-1.24701,596.283,30,14.6921,69.9713,5.37726
0.192013,501.711,30,13.068,61.6398,5.71057
-3.18881,527.181,30,12.0408,58.1098,4.97382
0.835406,549.737,30,14.6764,68.9323,5.87035
-4.08842,542.471,30,11.958,58.0719,4.80269
0.846171,596.082,30,15.9202,74.769,5.87309
-1.63967,510.91,30,12.398,59.2027,5.29163
-4.10618,578.018,30,12.7326,61.8414,4.7994
-2.8428,529.773,30,12.2656,59.0534,5.04217
0.142552,575.485,30,14.9611,70.5924,5.69857
1.04731,548.326,30,14.7577,69.2178,5.92455
-2.59841,503.879,30,11.7783,56.6126,5.09133
-3.12085,521.606,30,11.9453,57.622,4.98713
-3.57671,521.395,30,11.7281,56.753,4.89889
-0.165769,503.913,30,12.946,61.2098,5.62469
-1.98952,573.435,30,13.727,65.7047,5.21713
-4.5641,518.76,30,11.2217,54.6779,4.71585
-1.2859,546.663,30,13.4492,64.0688,5.36868
-4.23133,567.409,30,12.4371,60.4591,4.77634
-3.5415,525.771,30,11.843,57.2948,4.90562
0.933035,525.44,30,14.0801,66.0895,5.89522
-2.32586,521.794,30,12.3279,59.1434,5.14705
-1.45616,589.284,30,14.4023,68.6879,5.33138
1.65187,552.453,30,15.2153,71.0821,6.08367
0.378369,535.658,30,14.0524,66.201,5.75613
-0.178027,529.463,30,13.596,64.2882,5.62179
-3.69508,507.812,30,11.3694,55.0622,4.87637
-2.22922,512.482,30,12.1537,58.2692,5.16703
-4.5939,539.962,30,11.6665,56.8572,4.71049
-0.0797128,502.969,30,12.9646,61.2626,5.64516
0.704219,572.012,30,15.1946,71.4281,5.8372
1.05785,529.359,30,14.253,66.8458,5.92727
-2.39921,549.98,30,12.9566,62.1908,5.13196
-0.714645,509.836,30,12.8238,60.8547,5.49688
-3.26923,515.294,30,11.7321,56.6516,4.95814
-3.75428,560.747,30,12.5252,60.685,4.86517
-3.02646,552.237,30,12.6938,61.1927,5.00571
-1.24039,594.882,30,14.6614,69.8217,5.37872
1.81948,514.366,30,14.2569,66.5318,6.12901
-1.30427,501.109,30,12.3197,58.6953,5.36463
-1.71482,539.234,30,13.0472,62.3341,5.27549
-0.399663,565.413,30,14.3956,68.1702,5.56966
-2.02519,585.64,30,13.9997,67.0262,5.20963
1.10964,540.74,30,14.5882,68.3948,5.94064
1.2214,593.59,30,16.0824,75.345,5.96968
-2.69662,563.734,30,13.1269,63.1368,5.07149
1.45904,515.045,30,14.0813,65.8673,6.03218
-1.01264,598.527,30,14.882,70.7637,5.42941
-2.87714,587.397,30,13.5814,65.4041,5.03532
0.352866,526.093,30,13.7879,64.9663,5.74986
0.149941,522.995,30,13.6004,64.1688,5.70036
-4.39726,535.875,30,11.6689,56.7907,4.74603
1.67203,513.906,30,14.1645,66.1644,6.0891
-2.46055,573.934,30,13.4885,64.7712,5.1194
-4.26829,571.297,30,12.504,60.8,4.76956
-4.03844,555.91,30,12.2785,59.6076,4.81196
-0.870673,501.38,30,12.5352,59.5477,5.46139
-2.22702,552.788,30,13.1107,62.8564,5.16749
-3.33102,541.629,30,12.3018,59.4276,4.94614
1.96226,512.02,30,14.269,66.5264,6.16806
-1.96547,561.212,30,13.447,64.3541,5.2222
-3.37579,516.902,30,11.7195,56.6322,4.93748
1.85794,520.432,30,14.4461,67.3979,6.13949
-2.74268,581.178,30,13.5087,64.9937,5.06222
0.601333,560.302,30,14.825,69.7381,5.8114
